ID,Fallow_yr1,Fallow_yr2,Fallow_yr3,wealth,hheducation,adults,ethnicity,hhgender
EU083,No,No,No,1.11,primary1,3,Other,Male
EU082,No,No,No,3.035,secondary,3,Other,Male
EU095,No,No,No,0.75,primary1,4,Other,Female
EU096,No,No,No,0.475,primary1,2,Other,Female
EU097,No,No,No,3.35,primary1,4,Other,Male
EU098,No,No,No,0.475,primary1,1,Other,Female
EU099,No,No,No,3.31,secondary,2,Other,Male
EU100,No,No,No,3.25,secondary,2,Other,Male
EU091,No,No,No,3.11,primary1,5,Other,Female
EU072,No,No,No,2.875,none,3,Other,Male
EU101,No,No,Yes,1.07,primary2,2,Other,Male
EU063,No,No,No,3.35,primary1,3,Other,Male
EU064,No,No,No,2.635,none,1,Other,Female
EU065,No,No,No,2.83,primary2,2,Other,Male
EU066,No,No,No,0.475,primary1,2,Other,Female
EU084,No,No,No,2.915,secondary,2,Other,Male
EU071,No,No,No,3.19,primary2,2,Other,Male
EU061,No,No,No,3.15,primary1,4,Other,Male
EU073,No,No,No,0.635,none,2,Other,Male
EU074,No,No,No,2.715,primary1,2,Other,Male
EU075,No,No,No,0.835,primary1,2,Other,Female
EU077,No,No,No,0.83,primary2,4,Other,Male
EU079,No,No,No,1.07,primary2,2,Other,Male
EU070,No,No,No,0.75,primary1,2,Other,Male
EU201,No,No,No,3.19,primary2,3,Other,Male
EU182,No,No,No,0.275,none,1,Other,Female
EU205,No,No,No,2.83,primary2,2,Other,Male
EU204,No,No,No,0.55,none,3,Other,Male
EU202,No,No,No,2.95,secondary,2,Other,Male
EU153,No,No,No,0.83,primary2,2,Other,Male
EU200,No,No,No,2.555,primary2,3,Other,Male
EU198,No,No,No,3.11,primary1,4,Other,Female
EU197,No,No,No,2.75,primary1,2,Other,Male
EU196,No,No,No,3.19,primary2,2,Other,Male
EU195,No,No,No,0.83,primary2,2,Other,Male
EU186,No,No,No,2.635,none,1,Other,Female
EU203,No,No,No,0.83,primary2,2,Other,Male
EU194,No,No,No,2.555,primary2,2,Other,Male
EU183,No,No,No,0.555,primary2,1,Other,Male
EU184,No,No,No,2.555,primary2,2,Other,Male
EU187,No,No,Yes,3.37,primary2,2,Other,Male
EU189,No,No,Yes,3.83,primary2,2,Other,Female
EU190,No,No,Yes,0.75,primary1,1,Other,Male
EU191,No,No,Yes,1.07,primary2,2,Other,Male
EU192,No,No,No,0.91,none,2,Other,Male
EU193,No,No,No,0.275,none,1,Other,Female
EL112,No,No,No,3.31,secondary,5,Other,Male
EL110,No,No,No,0.83,primary2,2,Other,Male
EL109,No,No,No,3.31,secondary,5,Other,Male
EL114,No,No,No,0.75,primary1,1,Other,Male
EL107,No,Yes,No,0.91,none,2,Other,Female
EL121,No,No,Yes,1.11,primary1,4,Other,Male
EL106,No,No,No,0.715,primary1,3,Other,Male
EL108,No,No,No,0.83,primary2,3,Other,Male
EL115,No,No,Yes,3.11,primary1,5,Other,Male
EL117,No,No,No,0.767,other,5,Other,Male
EL118,No,No,No,0.915,secondary,,Other,Male
EL120,No,No,No,3.07,primary2,3,Other,Female
EL122,No,No,No,0.83,primary2,3,Other,Male
EL105,No,No,No,0.24,none,2,Other,Male
EL092,No,No,No,0.635,none,2,Other,Female
EL123,Yes,No,No,1.09,none,1,Other,Female
EL119,No,No,No,0.75,primary1,3,Other,Male
EL094,No,No,No,2.915,primary2,4,Other,Male
EL082,No,No,No,2.83,primary2,4,Other,Male
EL084,No,No,No,2.835,primary1,4,Other,Male
EL085,Yes,Yes,No,2.74,other,1,Other,Male
EL086,No,Yes,No,2.835,primary1,2,Other,Male
EL087,No,No,No,3.19,primary2,5,Other,Male
EL088,No,No,No,0.83,primary2,3,Other,Male
EL095,No,No,No,0.75,primary1,5,Other,Male
EL124,No,No,No,2.915,primary2,3,Other,Male
EL104,No,No,No,1.13,primary2,2,Other,Male
EL083,No,No,No,3.31,secondary,6+,Other,Male
EL096,No,No,No,2.95,secondary,6+,Other,Male
EL097,No,No,No,2.915,primary2,4,Other,Female
EL098,No,No,No,2.83,primary2,5,Other,Male
EL102,No,Yes,No,3.25,secondary,1,Other,Female
EL103,No,No,No,0.76,secondary,2,Other,Male
EL091,No,No,No,0.64,primary2,6+,Other,Male
EL156,No,No,No,1.13,primary2,1,Other,Male
EL147,No,Yes,Yes,3.95,secondary,1,Other,Male
EL148,No,No,No,0.55,none,4,Other,Male
EL149,No,No,No,2.915,secondary,5,Other,Male
EL150,No,No,No,1.075,primary1,6+,Other,Male
EL153,No,No,No,0.715,primary1,1,Other,Male
EL167,No,Yes,No,3.19,secondary,3,Other,Male
EL155,No,No,No,1.75,primary1,1,Other,Male
EL144,No,No,No,3.275,secondary,,Other,Female
EL157,No,No,No,2.95,secondary,2,Other,Male
EL162,No,No,No,1,secondary,2,Other,Male
EL163,No,No,No,2.83,primary2,2,Other,Female
EL165,No,No,No,2.75,primary1,,Other,Male
EL004,Yes,No,No,4.41,primary1,3,Other,Female
EL154,No,No,No,2.891,primary2,3,Other,Male
EL135,Yes,No,No,2.75,primary1,1,Other,Male
EL126,No,Yes,No,1.43,primary2,1,Other,Male
EL128,No,No,Yes,2.75,primary1,2,Other,Male
EL129,No,No,No,0.555,primary2,3,Other,Male
EL130,No,No,No,0.515,none,2,Other,Male
EL131,No,No,No,0.83,primary2,1,Other,Male
EL132,No,No,No,1.31,secondary,2,Other,Male
EL146,No,No,No,0.83,primary2,2,Other,Male
EL134,No,No,No,0.99,primary1,3,Other,Male
EL145,No,No,No,0.99,primary1,,Other,Male
EL137,Yes,Yes,Yes,0.2,primary1,6+,Other,Female
EL139,No,No,No,3.07,primary2,3,Other,Male
EL142,No,Yes,No,2.78,primary2,2,Other,Male
EL143,No,No,No,3.075,primary1,3,Other,Female
EL125,No,No,No,2.475,primary1,1,Other,Male
EL133,No,No,No,2.75,primary1,1,Other,Male
EL030,Yes,No,No,2.83,primary2,,Other,Male
EL037,No,No,No,0.8,primary1,5,Other,Male
EL023,Yes,Yes,Yes,4.49,secondary,4,Other,Male
EL024,No,Yes,Yes,0.64,secondary,2,Other,Male
EL025,No,No,No,2.555,primary2,1,Other,Female
EL026,No,No,No,0.44,primary1,5,Other,Male
EL027,No,No,Yes,4.35,primary1,3,Other,Male
EL021,No,No,Yes,4.47,primary2,4,Other,Male
EL029,No,No,No,0.555,primary2,3,Other,Male
EL020,Yes,Yes,Yes,2.82,primary2,4,Other,Male
EL031,No,No,No,3.2,primary1,6+,Other,Male
EL032,No,No,No,0.44,primary1,6+,Other,Male
EL033,No,No,No,1,none,4,Other,Female
EL034,No,No,No,0.905,primary2,5,Other,Female
EL035,No,No,No,5.05,secondary,6+,Other,Male
EL036,No,No,No,4.19,secondary,,Other,Female
EL028,No,No,No,0.915,primary2,2,Other,Male
EL012,No,No,No,1.43,primary2,3,Other,Male
EL001,No,No,No,4.55,secondary,2,Other,Male
EL081,Yes,Yes,Yes,3.49,primary2,4,Other,Male
EL007,No,Yes,Yes,2.25,secondary,2,Other,Male
EL002,Yes,Yes,Yes,1.07,primary2,3,Other,Male
EL003,No,No,Yes,4.73,primary2,3,Other,Male
EL005,Yes,Yes,Yes,0.82,primary2,3,Other,Male
EL022,No,No,No,4.25,secondary,2,Other,Male
EL010,No,No,No,1.95,secondary,2,Other,Male
EL011,Yes,No,No,2.52,primary2,3,Other,Male
EL013,Yes,No,No,0.28,primary2,2,Other,Male
EL015,No,No,No,1.816,primary2,3,Other,Male
EL016,No,No,No,3.915,secondary,2,Other,Male
EL017,No,No,No,2.82,primary2,4,Other,Male
EL018,Yes,No,No,4.19,primary2,4,Other,Male
EL019,Yes,No,No,3.88,primary2,4,Other,Female
EL008,Yes,Yes,Yes,1.18,primary2,5,Other,Male
EL058,No,No,No,1.2,primary1,5,Other,Male
EL059,No,No,No,0.95,secondary,1,Other,Female
EL059,No,No,No,0.95,secondary,1,Other,Female
EL059,No,No,No,0.95,secondary,1,Other,Female
EL060,No,No,No,2.75,primary1,2,Other,Male
EL061,No,No,No,0.99,primary1,1,Other,Male
EL063,No,Yes,Yes,2.475,primary1,3,Other,Male
EL057,Yes,No,No,0.52,primary2,2,Other,Female
EL066,No,No,No,2.91,none,3,Other,Male
EL071,No,No,No,0.91,none,4,Other,Male
EL068,No,No,No,0.835,primary1,3,Other,Male
EL069,No,No,No,3.11,primary1,3,Other,Male
EL070,No,No,No,2.63,primary2,2,Other,Male
EL038,No,No,No,1.75,primary1,3,Other,Male
EL072,No,No,No,1.07,primary2,4,Other,Female
EL009,Yes,No,No,4.49,secondary,2,Other,Male
EL080,No,No,No,0.44,primary1,6+,Other,Female
EL064,No,No,No,0.44,primary1,1,Other,Male
EL045,No,No,No,2.475,primary1,3,Other,Male
EL040,Yes,No,No,4.715,primary2,6+,Other,Male
EL041,No,No,No,3.715,primary1,6+,Other,Male
EL042,Yes,Yes,No,2.75,primary1,1,Other,Female
EL039,No,No,No,4.37,primary2,2,Other,Male
EL056,No,No,No,0.8,primary1,2,Other,Male
EL043,No,No,No,4.07,primary2,2,Other,Female
EL044,No,No,No,0.44,primary1,6+,Other,Female
EL046,No,No,No,0.44,primary1,4,Other,Male
EL051,No,No,No,0.24,none,6+,Other,Female
EL055,No,No,No,1.35,primary1,3,Other,Female
EL054,Yes,No,No,3.29,primary1,4,Other,Male
EL050,No,No,No,1.075,primary1,6+,Other,Male
EL052,No,No,No,3.159,secondary,4,Other,Female
EL048,No,No,No,4.31,secondary,2,Other,Female
ED008,No,No,No,1.555,primary2,2,Other,Male
ED001,Yes,No,No,2.915,primary2,5,Other,Female
ED016,No,Yes,Yes,3.83,primary2,2,Other,Female
ED014,No,Yes,Yes,4.07,primary2,6+,Other,Female
ED013,No,No,No,4.11,primary1,3,Other,Male
ED012,Yes,No,No,1.95,secondary,2,Other,Male
ED011,No,Yes,No,1.875,none,6+,Other,Female
ED019,No,No,No,2.35,primary1,6+,Other,Male
ED009,No,No,No,4.35,primary1,6+,Other,Male
ED007,Yes,Yes,Yes,1.2,primary1,6+,Other,Male
ED006,Yes,Yes,Yes,4.65,primary1,5,Other,Male
ED005,Yes,No,No,3.28,primary2,3,Other,Female
ED004,No,No,No,2.19,primary2,6+,Other,Female
ED003,Yes,No,No,2.55,secondary,6+,Other,Male
ED002,No,No,No,2.275,secondary,4,Other,Male
ED010,No,No,No,1.915,secondary,5,Other,Male
ED026,Yes,Yes,Yes,1.75,primary1,2,Other,Female
ED097,No,No,Yes,4.07,primary2,2,Other,Male
ED096,No,No,Yes,4.11,primary1,4,Other,Male
ED063,No,No,Yes,2.11,primary1,6+,Other,Female
ED048,No,No,No,3.83,primary2,3,Other,Female
ED029,Yes,Yes,No,4.43,primary2,6+,Other,Female
